Features,Sensitivity,Specificity,MCC,AUC
001101010000,0.6417073962946022,0.7062519694429709,0.3473486941918856,0.6799111111111109
001101010001,0.6393830744067245,0.7020771909773207,0.3406292174245521,0.6578311111111113
001101010010,0.6947438610089768,0.6688860357605981,0.34388784343191614,0.6262266666666667
001101010011,0.6691897286061571,0.6745391494198649,0.3329484639796576,0.630871111111111
001101010100,0.7075949164998151,0.7586042443491249,0.4657185424811016,0.7508133333333333
001101010101,0.6790156895920493,0.7563924161317616,0.43574476644226784,0.7348266666666667
001101010110,0.6997753699046178,0.7285974179736668,0.4224418893703288,0.7309970370370368
001101010111,0.7335756213718705,0.7261460708093671,0.4495669932375735,0.7117155555555553
001101011000,0.6076927738595354,0.6720883614343199,0.27734499864481665,0.640971851851852
001101011001,0.599024459280092,0.6728199329363346,0.2705908906280388,0.6372859259259259
001101011010,0.6994372444767191,0.6499117404026044,0.317879570479896,0.6161525925925924
001101011011,0.6751302613262865,0.6494268580045889,0.29964763543641176,0.6138074074074074
001101011100,0.6913942189866542,0.7234811306696151,0.41136606074762594,0.7125170370370371
001101011101,0.6649215449091699,0.7110037290715634,0.372689861056714,0.6941718518518519
001101011110,0.698671365506891,0.7080816823784711,0.39625803326130127,0.6982059259259258
001101011111,0.7024482025681135,0.70501308243718,0.3975996065169807,0.6888948148148148
001101100000,0.7348371322323576,0.75012857441553,0.479621400509048,0.7673940740740742
001101100001,0.7161874555618669,0.7362423038981122,0.4471327840049202,0.7634844444444445
001101100010,0.6548682330912702,0.7156403591845116,0.36978064559528795,0.7218118518518517
001101100011,0.6606852100434426,0.7233594514762927,0.38325171231513094,0.7276740740740744
001101100100,0.7321216300183128,0.744655058829099,0.4702934680605025,0.7794548148148148
001101100101,0.7100260024169636,0.7387078240275098,0.4435922340029841,0.7752148148148146
001101100110,0.656174537510615,0.711443808990918,0.36533316778008457,0.7485911111111113
001101100111,0.6623827627170736,0.7284210638519455,0.3880366182817302,0.7536296296296296
001101101000,0.6585270083286063,0.7149448849103058,0.3711356901301276,0.733211851851852
001101101001,0.6607525437000902,0.713627753435727,0.37165833152439953,0.7315140740740739
001101101010,0.6513019042689918,0.7032957689927067,0.3506676570343664,0.7033229629629629
